"FIDs","AveDBH","AveHt.1","BasalArWtHt.1","Density","AveBasalAr","AveHt.2","BasalArWtHt.2","AveAGB"
158,20,14,18.9,381.97,0.04,14.01,18.95,330.4
186,19.9,13.2,15.1,650.77,0.04,13.16,15.14,505.18
59,22.7,16.8,17.3,268.8,0.04,16.75,17.26,241.03
94,18.5,15,17.4,339.53,0.03,15.01,17.36,170.85
95,22.6,14.9,19.9,198.06,0.05,14.95,19.89,221.75
100,23.6,17.5,22.3,226.35,0.06,17.46,22.28,328.95
138,19.1,16.8,21.4,565.88,0.03,16.75,21.4,470.49
107,19.5,17.2,20.4,650.77,0.03,17.16,20.41,598.74
91,20.6,15.6,16.6,537.59,0.04,15.57,16.6,384.84
152,19.4,18,22.2,650.77,0.03,18.04,22.24,543.38
126,19.4,16.1,18.2,565.88,0.03,16.06,18.16,411.51
62,32.6,20.8,24,240.5,0.09,20.77,23.97,636.06
73,27.9,19.7,21.7,226.35,0.06,19.72,21.67,375.38
192,44.1,26.7,28,113.18,0.16,26.69,28.05,635.15
147,34.5,23.8,30.8,311.24,0.11,23.77,30.84,1303.76
97,46.6,27.2,27.8,84.88,0.17,27.23,27.81,501.98
98,40.9,27.2,28.9,113.18,0.14,27.23,28.95,471.9
111,30.3,21.6,23.1,169.77,0.08,21.58,23.11,344.66
162,28.6,21.6,22.9,381.97,0.07,21.59,22.91,637.1
466,34.5,24.6,26.5,297.09,0.1,24.56,26.53,878.2
132,34.4,22,22.4,226.35,0.1,22.02,22.44,502.04
136,35.6,22.5,23.7,169.77,0.11,22.48,23.74,496.28
108,51.8,32.7,35.4,56.59,0.23,32.73,35.4,275.3
193,22.7,20.2,25.4,551.74,0.05,20.16,25.39,852.53
194,20.9,21.8,25.1,877.12,0.04,21.84,25.15,808.26
106,19.6,21.4,25.4,877.12,0.03,21.39,25.43,814.73
471,8.5,4.8,5.2,396.12,0.01,4.77,5.23,22.13
462,7.2,5.5,5.6,438.56,0,5.46,5.57,36.57
463,8.1,6.5,6.9,537.59,0.01,6.55,6.85,105.07
461,8.9,5.9,6.5,650.77,0.01,5.93,6.53,103.48
204,8.8,7.6,8.1,240.5,0.01,7.63,8.12,28.09
203,7.8,7.3,8.5,580.03,0.01,7.28,8.46,50.31
473,14,7.5,10.6,381.97,0.02,7.47,10.62,73.49
60,17.1,10.8,12.9,226.35,0.03,10.81,12.91,141.99
202,18.1,11.3,14.7,424.41,0.03,11.31,14.74,321.79
128,17.3,11,15.7,240.5,0.03,10.98,15.67,168.59
198,11.1,10.4,11.7,933.71,0.01,10.43,11.72,145.81
102,14.6,13,21.3,481,0.02,12.98,21.26,261.72
175,12,10.8,11.9,735.65,0.01,10.77,11.9,167.46
184,11.9,10,11.4,820.53,0.01,10.01,11.38,145.95
96,27.7,17.6,22,155.62,0.07,17.63,22.01,368.27
163,19,15.4,17.7,169.77,0.03,15.4,17.69,74.78
131,24.4,16.1,19.2,325.38,0.05,16.09,19.16,379.47
134,23.5,14.3,23,226.35,0.06,14.33,22.98,514.6
104,18.4,12.9,17.8,325.38,0.04,12.89,17.83,288.47
90,22.2,17,17.5,424.41,0.04,17.02,17.53,407.12
101,26.4,15.5,23,282.94,0.07,15.54,23.01,673.36
190,34,20.9,30.2,113.18,0.13,20.91,30.17,618.54
191,44.1,28.4,29.5,99.03,0.16,28.44,29.45,697.5
69,26.7,16.9,21.2,381.97,0.07,16.89,21.25,820.49
70,27.9,21.2,24.4,297.09,0.07,21.19,24.36,687.23
133,27.7,19.1,25.1,268.8,0.08,19.12,25.12,819.14
103,18.1,15.1,22.1,410.27,0.03,15.13,22.06,393.7
105,39.1,17.5,24.6,113.18,0.19,17.5,24.65,787.04
116,28.2,20.6,23.4,169.77,0.07,20.57,23.37,364.04
118,41.6,23.8,28.3,169.77,0.17,23.83,28.34,1096.01
205,21.6,16.6,18.6,353.68,0.04,16.61,18.64,208.68
206,26.2,18.9,19.8,325.38,0.06,18.91,19.85,260.62
207,22.5,20.8,23.2,481,0.04,20.78,23.22,300.37
208,22.1,20.7,22.8,537.59,0.04,20.68,22.8,313.9
479,8.9,7.3,10.2,396.12,0.01,7.3,10.24,29.63
477,8,5.6,6.9,707.36,0.01,5.55,6.92,311.61
478,6.9,4.6,4.7,707.36,0,4.62,4.75,28.81
476,7,5.3,6.3,820.53,0,5.25,6.33,214.62
