"FIDs","BAN_JING","YDH","YDMZGUID","17_sl_HH_F02DAR","p2hv"
407,16,"43312435422337","d4498947-15ab-4718-b219-91ff35d278c7",4846,2835
408,16,"43312407413338","a5f73137-06bf-421f-916a-0b6d5f7ed00b",7859,3427
409,16,"43312407413339","c023583b-bbd3-4d89-9c13-1990d066e12d",12769,5217
410,16,"43312435423340","0bcb393b-0a3e-43ca-becb-913439cf0062",6245,5848
411,15,"43312435422341","83acc353-97d2-4a81-a76c-b9106d2749bc",9923,5635
412,15,"43312435423342","0f89841f-14e8-43e4-bb88-1ed80602f673",8737,4292
413,17,"43312435441343","0e97cab2-d3c9-4203-ac87-ee7815683177",8456,5006
414,16,"43312435441344","bd739e86-d6c2-4e78-bed8-d9e51021cbb9",7812,5365
415,16,"43312407413345","065b39e1-df7c-4331-8b1e-c87877ba2461",7952,3489
416,17,"43312435443346","d03ebe35-6772-4dce-b762-b8edc6f7ab14",7817,5450
417,15,"43310106422302","f82effeb-be01-4c25-af01-d15a3d182c77",9719,4783
418,15,"43310112423303","b44ccbc6-b265-4002-adea-cd7ecaa24263",6341,3891
419,15,"43310112422304","3ca12ae3-6559-413f-8eb4-232836fc58a2",7572,4516
420,15,"43310137433305","8e547e5a-f927-4205-8429-040213388c82",6490,3239
421,15,"43310107432306","9cd0d281-5c02-4854-b51a-0c42a9f67855",9575,4107
422,15,"43310107432307","5d559122-79d5-4fad-b387-3268df1ab445",8422,4618
423,15,"43310107432308","76201c9f-a9c5-41d4-a103-32ec8c59adf7",7554,6258
424,15,"43310101432309","f96d07a6-530f-419c-98d2-c54efd55fa0c",11119,3540
425,15,"43310107433310","b87fc15e-ce94-45f5-9b2b-7ea0f172be6e",7710,4093
426,15,"43310112431311","33eb52b3-ec3f-49d5-b7dd-7275baa79617",6737,3483
427,15,"43310106421312","f02e7821-571d-4a84-a419-4c82d8cf42bc",3089,1204
428,15,"43310112432313","cbbb3030-0fd6-447b-9247-ae04a15e6e90",7513,4653
429,15,"43310112432314","dd93fa17-033e-4ec3-b0f7-0e63c0dbf568",3341,1789
430,15,"43310112451315","19473eae-0703-43bb-abe5-1b9b3c06f67d",3972,2254
431,15,"43310112432316","5a29629c-cad0-4ea1-a690-10899e47b08e",7536,3262
432,15,"43310107441317","4c29cad1-c6a4-4aa7-9602-9f60f07acb27",9410,4289
433,15,"43310112423318","7f46c988-b2cc-469f-b8a6-3560eb416070",5970,3452
434,15,"43310112421319","b891eb5d-c233-4d6c-8358-b679800ff44f",5953,4486
435,15,"43310136432321","97084b3f-777e-4a6e-bb5a-d25228b8bc7c",7132,4685
436,15,"43310107422322","b405a079-60bc-4f6c-ae14-83346daf7f4d",9642,4185
437,15,"43310135432323","bbbdae38-4588-4887-8feb-c67063ffba8c",9343,4779
438,15,"43312407421301","7bb16275-3003-4782-9b37-2a5c0e070955",9673,4231
439,15,"43312407421302","7b6f9550-b801-46cc-824a-4c365f048a58",6001,3719
440,15,"43312407421303","d0d112c5-7122-429f-bb4c-9a027ae41921",10771,3865
441,15,"43312436431304","62425573-45fd-4267-8da2-f0e9b1f60c4c",6489,2819
442,15,"43312436432305","b4689211-1908-4df5-b685-74c503c16258",7391,4962
443,15,"43312435421306","4f295925-57e5-478e-a75a-b012bd80e465",6767,4599
444,15,"43312412421307","7072684d-e43f-4c28-926f-b912c2826eb8",7173,3590
445,17,"43312412413419","a2e74651-9bc5-4fd8-bd9b-4ca1940c3997",5880,3301
446,16,"43312431412421","58960262-b17a-4a5a-a6c4-65ff3879ac51",3354,1875
447,16,"43312401453420","1bf15fd4-1694-426b-8466-3226cca02d5d",5793,3297
448,16,"43312412413357","43c49276-cafc-4807-b1ab-933e8c507a2d",4896,2647
449,16,"43312401452358","7571056d-4943-4115-8fe8-03dc418a4f9a",7361,5137
450,18,"43312401443360","c4846def-40e3-48cf-ae72-4a62dd90cbbe",10082,2885
451,16,"43312537411301","f9231037-703f-4a64-890c-c035f9d7dfe5",7394,3392
452,16,"43312536411302","2adc60bb-6115-47d5-a0a2-78f81802b94a",5854,3019
453,16,"43312536411303","27411c28-b728-4d5b-a5fe-c953e7d71e6f",6987,2846
454,15,"43312512413304","ed0c2c7e-8f1c-469f-a604-de5a44eafd0c",4644,2394
455,16,"43312536412305","e4a52c5d-c186-45e2-915d-cadfef6b55a8",5823,3506
456,15,"43312401442359","afeea135-a732-49ee-b6c1-b40bc2a7e193",3488,3009
488,15,"43312701433102","b62f5b52-3489-49ad-b0dd-8bcdc46c2043",7368,2803
489,15,"43312707433603","7c092268-1d0c-4381-8dd6-b6229bc522cf",6014,3681
490,15,"43312723431664","94fa7214-341e-40f5-a833-998e1223d4a0",5897,3359
491,15,"43312723443665","0707ee2d-83fa-490c-aff0-9213da2d046b",10068,5763
492,15,"43312723442663","e66b5e53-f15c-4055-95b4-9d82a0eb68bd",6002,4702
493,15,"43312723442555","a16e5b8b-1cf1-4bc8-935b-765615b10cac",11248,4689
494,15,"43312723432556","388eb528-52a1-4ed3-9128-efcd19eebf8e",8931,4950
495,15,"43312723432557","5d97e2be-e50d-4570-8428-a5d49f455856",6488,5977
496,15,"43312723422666","5fa86257-32d7-443f-8e11-380661125f13",8354,3190
497,15,"43312723442667","9d9b0eac-025d-4da9-bedc-18bc43b7fee3",7036,3779
498,16,"43312723433165","d7b1daa6-99db-43fa-9b19-10ebd524b16d",6883,4426
499,16,"43312723431166","138e61bb-1def-4eee-8afd-ab66cb9edcfd",5592,2778
500,17,"43312723433167","67a291ee-2a3b-40a0-aaa1-ec6a241060bc",7007,5099
501,15,"43312723421168","e1d00f6a-09fb-447c-8cad-044f6c32d287",8445,4304
502,16,"43312723441169","8d3ab5cb-dc6b-4196-9148-a1d4911bf583",5098,4117
503,16,"43312723423170","0ec0c255-03b8-4882-8d7d-c7426e0c5fd5",7980,4485
504,15,"43312723423558","7f2efefe-15af-4ba8-b697-5cd3d8d249a6",4697,2426
505,15,"43312723421559","29cb12d1-e404-4d1c-8704-ae087811da04",10039,5995
506,15,"43312723422560","8c30c5d9-12a1-42b4-9bbf-ad724c3d7077",7415,2960
507,15,"43312706423171","321ba3cf-5319-4c0a-823e-ed32c1fdf05d",5353,2943
508,15,"43312706423172","f55e4731-d459-4bd8-b9cc-e32fff1d341f",4746,2714
509,15,"43312735422173","ced6af94-509e-4c49-b47c-4e34db9b6fbb",6326,4010
510,15,"43312723443668","63dfa025-4f56-46b2-b5d2-c76345db5273",6572,3376
